epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,440.393,0.29377,1.65744,1.05012,0.85505,0.90946,0.93206,0.91834,0.23722,1.56531,0.35715,0.00332514,0.00332514,0.00332514
2,881.126,0.18976,0.85028,0.94034,0.91556,0.92661,0.95301,0.94742,0.23594,1.03941,0.34201,0.00659256,0.00659256,0.00659256
3,1318.01,0.23149,0.7369,0.95673,0.81614,0.80282,0.87975,0.83925,0.33635,1.09289,0.44981,0.00979397,0.00979397,0.00979397
4,1754.57,0.23326,0.63311,0.95352,0.93657,0.94967,0.978,0.96782,0.2646,0.57134,0.36352,0.009703,0.009703,0.009703
5,2191.62,0.20068,0.56867,0.93755,0.94879,0.96373,0.98942,0.97914,0.32342,0.46384,0.44747,0.009604,0.009604,0.009604
6,2628.55,0.18697,0.5183,0.93335,0.95634,0.95614,0.98549,0.97407,0.35409,0.54634,0.48537,0.009505,0.009505,0.009505
7,3065.55,0.16466,0.47733,0.92542,0.95742,0.95062,0.9844,0.97648,0.26721,0.50293,0.34776,0.009406,0.009406,0.009406
8,3507.15,0.1546,0.46242,0.91995,0.95223,0.93958,0.97906,0.97437,0.27963,0.48259,0.37197,0.009307,0.009307,0.009307
9,3950.53,0.14922,0.44454,0.91983,0.92873,0.94481,0.98168,0.9765,0.27765,0.47073,0.37911,0.009208,0.009208,0.009208
10,4387.08,0.14139,0.43095,0.91623,0.94137,0.92899,0.98989,0.98362,0.27713,0.50152,0.37399,0.009109,0.009109,0.009109
11,4824.83,0.1321,0.41744,0.91272,0.96478,0.96623,0.9887,0.98313,0.20259,0.4101,0.2702,0.00901,0.00901,0.00901
12,5262.65,0.12403,0.39769,0.90992,0.95966,0.97265,0.99215,0.99143,0.22061,0.3521,0.33208,0.008911,0.008911,0.008911
13,5701.21,0.121,0.39176,0.90858,0.96948,0.97984,0.99314,0.99235,0.22823,0.30104,0.33087,0.008812,0.008812,0.008812
